,,0
1104,Elizabeth: The Golden Age,39
1105,The Golden Child,3
1106,The Animal,11
1107,Draft Day,38
1108,Admission,20
1109,The Dilemma,39
1110,The East,36
1111,Babe: Pig in the City,3
1112,RoboCop 3,12
1113,The Mothman Prophecies,18
1114,House of 1000 Corpses,5
1115,Bandidas,4
1116,Trust,34
1117,Timecrimes,34
1118,Child's Play 2,0
1119,Deuce Bigalow: Male Gigolo,29
1120,Shaft,12
1121,Assault on Precinct 13,26
1122,The Dead Zone,27
1123,First Knight,7
1124,The Fog,27
1125,Dead Snow,1
1126,88 Minutes,26
1127,The Specialist,37
1128,Titan A.E.,3
1129,"Big Mommas: Like Father, Like Son",36
1130,102 Dalmatians,22
1131,The Long Kiss Goodnight,37
1132,Friday the 13th Part 2,5
1133,Open Water,0
1134,Y Tu Mamá También,0
1135,Vampires Suck,1
1136,Maniac,24
1137,Red State,34
1138,Amistad,28
1139,Muppets Most Wanted,8
1140,The Dukes of Hazzard,4
1141,Becoming Jane,39
1142,Heist,19
1143,A Lot Like Love,20
1144,Hidalgo,14
1145,Timeline,33
1146,Superman IV: The Quest for Peace,12
1147,Derailed,36
1148,Unfinished Business,31
1149,The Spirit,19
1150,Bernie,13
1151,Splash,16
1152,Fast Times at Ridgemont High,29
1153,The Young Victoria,13
1154,My Big Fat Greek Wedding 2,15
1155,Glengarry Glen Ross,27
1156,We Own the Night,26
1157,Patton,28
1158,Phenomenon,7
1159,American Graffiti,35
1160,Jersey Girl,23
1161,The Sitter,31
1162,Joy Ride,27
1163,Street Fighter,12
1164,The Bad Lieutenant: Port of Call - New Orleans,36
1165,Snake Eyes,27
1166,Elizabethtown,20
1167,No Reservations,31
1168,A Very Harold & Kumar Christmas,20
1169,The Last Exorcism,24
1170,Romeo Must Die,37
1171,Nim's Island,32
1172,Stir of Echoes,27
1173,The New World,39
1174,Running Scared,26
1175,Stealth,36
1176,Hop,32
1177,Four Christmases,13
1178,Fifty Shades of Black,13
1179,Bangkok Dangerous,19
1180,Escape from Planet Earth,32
1181,Nutty Professor II: The Klumps,22
1182,Six Days Seven Nights,22
1183,Out of Sight,7
1184,Mindhunters,27
1185,Frailty,27
1186,High Noon,2
1187,Bad Words,31
1188,The Stepford Wives,22
1189,Elizabeth,30
1190,Reign Over Me,38
1191,Spawn,12
1192,Rescue Dawn,36
1193,Rebecca,28
1194,Secret in Their Eyes,26
1195,Dead Man Walking,30
1196,The Queen,9
1197,Never Say Never Again,33
1198,The Color Purple,28
1199,Charlie Wilson's War,17
1200,Joe,38
1201,Practical Magic,22
1202,Sanctum,36
1203,Thirteen,0
1204,The Thomas Crown Affair,35
1205,Quarantine,34
1206,U-571,37
1207,Windtalkers,28
1208,Don't Be Afraid of the Dark,34
1209,The Fisher King,35
1210,Sex Drive,20
1211,Soul Surfer,17
1212,The To Do List,13
1213,Stolen,19
1214,TMNT,32
1215,The Spy Next Door,15
1216,Mean Streets,28
1217,Kiss the Girls,18
1218,Jackass: The Movie,29
1219,Beginners,13
1220,Harry Brown,19
1221,Cirque du Freak: The Vampire's Assistant,25
1222,The Green Inferno,34
1223,Driving Miss Daisy,11
1224,Whatever Works,13
1225,Bride of Chucky,11
1226,A Perfect Getaway,34
1227,The Siege,37
1228,Cats & Dogs,22
1229,My Fair Lady,35
1230,Save the Last Dance,35
1231,Sense and Sensibility,35
1232,Blue Streak,22
1233,Days of Thunder,14
1234,Boys Don't Cry,28
1235,Hot Tub Time Machine 2,31
1236,A League of Their Own,16
1237,Speed Racer,25
1238,The Net,18
1239,A Nightmare on Elm Street 3: Dream Warriors,5
1240,Sliding Doors,23
1241,Diary of a Wimpy Kid,15
1242,Kill the Messenger,26
1243,The Last Emperor,30
1244,Apollo 18,34
1245,Freedom Writers,36
1246,On the Waterfront,28
1247,Whip It,38
1248,A Good Year,39
1249,March of the Penguins,15
1250,The Man with the Iron Fists,34
1251,Larry Crowne,13
1252,The Invasion,34
1253,Meet the Spartans,31
1254,Nacho Libre,15
1255,It's Complicated,20
1256,Leaving Las Vegas,35
1257,The Gallows,24
1258,A Nightmare on Elm Street Part 2: Freddy's Revenge,5
1259,Beneath the Planet of the Apes,6
1260,About Schmidt,35
1261,Super Troopers,11
1262,The Full Monty,29
1263,Doomsday,25
1264,Bloodsport,6
1265,This Is England,17
1266,Street Kings,26
1267,Aquamarine,15
1268,The Fifth Estate,36
1269,Young Adult,17
1270,Boyz n the Hood,28
1271,Our Idiot Brother,17
1272,Caddyshack,29
1273,The Iceman,34
1274,The Ant Bully,32
1275,Tusk,1
1276,United 93,26
1277,The Messenger: The Story of Joan of Arc,28
1278,The International,26
1279,You Again,13
1280,Spanglish,16
1281,Mission to Mars,14
1282,The Haunting,18
1283,Malcolm X,30
1284,Meet Dave,15
1285,Big Momma's House 2,17
1286,The Pelican Brief,18
1287,Ninja Assassin,19
1288,The Guard,19
1289,Sinbad: Legend of the Seven Seas,10
1290,The Conversation,18
1291,A Thousand Words,17
1292,Happy Feet Two,32
1293,Escape from L.A.,12
1294,Alive,37
1295,The Pirates! In an Adventure with Scientists!,32
1296,I Still Know What You Did Last Summer,27
1297,Witness,18
1298,Righteous Kill,19
1299,Red Lights,26
1300,Secretary,23
1301,Star Trek V: The Final Frontier,33
1302,Dancer in the Dark,35
1303,"Legally Blonde 2: Red, White & Blonde",29
1304,The 33,38
1305,The Thirteenth Floor,27
1306,Daylight,33
1307,Superhero Movie,15
1308,Ip Man 3,1
1309,Nick and Norah's Infinite Playlist,13
1310,The Words,34
1311,Analyze That,11
1312,The Craft,27
1313,Little White Lies,39
1314,Land of the Dead,24
1315,Walking Tall,12
1316,Premonition,34
1317,Network,30
1318,Like Crazy,13
1319,Land of the Lost,15
1320,Cop Land,27
1321,Conan the Destroyer,3
1322,While We're Young,17
1323,Glory,14
1324,Frida,35
1325,Capote,36
1326,Little Shop of Horrors,11
1327,My Cousin Vinny,35
1328,Rock of Ages,20
1329,The Bridges of Madison County,35
1330,Centurion,34
1331,Clear and Present Danger,37
1332,The Sisterhood of the Traveling Pants,39
1333,Assassins,37
1334,Blindness,26
1335,Enter the Void,39
1336,Lost in Space,33
1337,One for the Money,4
1338,West Side Story,18
1339,Home on the Range,10
1340,Funny People,39
1341,Dream House,34
1342,Intolerable Cruelty,23
1343,Star Trek: Insurrection,12
1344,Mallrats,23
1345,Left Behind,25
1346,Florence Foster Jenkins,39
1347,The Gunman,26
1348,The Interpreter,26
1349,The Manchurian Candidate,18
1350,Made of Honor,13
1351,Sweet Home Alabama,16
1352,Takers,26
1353,The Kite Runner,38
1354,Wanderlust,31
1355,G.I. Jane,28
1356,Agora,36
1357,Born on the Fourth of July,30
1358,Lolita,35
1359,The Hurricane,30
1360,Fahrenheit 9/11,2
1361,Clerks II,31
1362,Hackers,37
1363,Ever After: A Cinderella Story,16
1364,Failure to Launch,31
1365,Amour,39
1366,Along Came a Spider,27
1367,Beasts of the Southern Wild,17
1368,Space Cowboys,33
1369,Flatliners,37
1370,Just Married,29
1371,Jaws 2,37
1372,My Week with Marilyn,9
1373,Monster-in-Law,31
1374,Volver,39
1375,Pet Sematary,0
1376,"You, Me and Dupree",20
1377,The Blue Lagoon,22
1378,An Education,13
1379,Lady in the Water,26
1380,Astro Boy,4
1381,Dr. Dolittle 2,22
1382,Something's Gotta Give,16
1383,National Lampoon's Vacation,22
1384,Morning Glory,13
1385,Star Trek VI: The Undiscovered Country,33
1386,War,19
1387,The Big Wedding,31
1388,Precious,38
1389,The Constant Gardener,26
1390,Act of Valor,25
1391,Animal House,16
1392,She's All That,23
1393,Flipped,13
1394,Scoop,17
1395,Jonah Hex,34
1396,Keanu,15
1397,Tootsie,16
1398,Any Given Sunday,30
1399,The French Connection,12
1400,Four Lions,13
1401,The Score,37
1402,Killer Joe,34
1403,The Raven,26
1404,Collateral Damage,37
1405,The Wedding Planner,29
1406,The Quick and the Dead,14
1407,The Game Plan,20
1408,Dante's Peak,33
1409,Free State of Jones,36
1410,Jackass 3D,15
1411,The Water Diviner,38
1412,Conspiracy Theory,37
1413,Not Another Teen Movie,29
1414,The Boss,31
1415,Pay It Forward,35
1416,Silent Hill: Revelation 3D,24
1417,Grudge Match,20
1418,Final Fantasy: The Spirits Within,12
1419,Chasing Amy,35
1420,Patriot Games,37
1421,Arachnophobia,11
1422,Sahara,36
1423,Beverly Hills Cop III,6
1424,Speed 2: Cruise Control,33
1425,Doubt,9
1426,Man on the Moon,16
1427,One Hour Photo,5
1428,Nanny McPhee and the Big Bang,20
1429,The Cell,37
1430,Ella Enchanted,10
1431,The Sum of All Fears,37
1432,The One,12
1433,The Phantom of the Opera,18
1434,Rounders,28
1435,Sky Captain and the World of Tomorrow,33
1436,Woman in Gold,38
1437,The Last House on the Left,26
1438,The Living Daylights,33
1439,Hide and Seek,24
1440,The Fourth Kind,34
1441,The Mexican,7
1442,Super,13
1443,Mortal Kombat,6
1444,Domino,36
1445,Good Luck Chuck,13
1446,Fool's Gold,8
1447,Wild Things,18
1448,Bachelorette,13
1449,World Trade Center,26
1450,Ali,30
1451,The Forest,24
1452,Hannah Montana: The Movie,15
1453,Hellraiser,5
1454,Paranormal Activity: The Marked Ones,24
1455,Robot & Frank,13
1456,The Hours,30
1457,Puss in Boots,4
1458,Syriana,36
1459,Star Trek: Generations,33
1460,Broken Arrow,37
1461,Hostel: Part II,24
1462,Species,37
1463,That's My Boy,20
1464,Bowling for Columbine,2
1465,Once,17
1466,The Count of Monte Cristo,37
1467,Bill & Ted's Excellent Adventure,22
1468,Videodrome,27
1469,The Jacket,34
1470,Runaway Bride,16
1471,Red Eye,24
1472,On Her Majesty's Secret Service,33
1473,Behind Enemy Lines,27
1474,The Five-Year Engagement,20
1475,Into the Blue,25
1476,Ultraviolet,19
1477,The Back-Up Plan,13
1478,The Awakening,26
1479,Tango & Cash,22
1480,Anomalisa,15
1481,The Best Exotic Marigold Hotel,39
1482,Grindhouse,25
1483,The Forbidden Kingdom,4
1484,Frequency,18
1485,Leap Year,13
1486,Texas Chainsaw 3D,24
1487,The Frozen Ground,34
1488,Annie,39
1489,The Haunted Mansion,22
1490,Ray,30
1491,The Darkest Hour,34
1492,Ransom,37
1493,Asterix at the Olympic Games,8
1494,Hocus Pocus,10
1495,Take Shelter,36
1496,8MM,18
1497,eXistenZ,27
1498,Sphere,14
1499,The Omen,37
1500,Star Trek IV: The Voyage Home,37
1501,Sideways,16
1502,Race,36
1503,Incendies,36
1504,Hoodwinked!,32
1505,Star Trek: Nemesis,33
1506,Jay and Silent Bob Strike Back,29
1507,The Life of David Gale,18
1508,The American,34
1509,The Insider,28
1510,End of Days,37
1511,August: Osage County,39
1512,A Serious Man,17
1513,The Apartment,16
1514,State of Play,36
1515,Alvin and the Chipmunks: Chipwrecked,32
1516,Monster,28
1517,Mirrors,26
1518,Maid in Manhattan,23
1519,Eraserhead,6
1520,Winter's Tale,39
1521,Two Weeks Notice,29
1522,Edge of Darkness,26
1523,The X Files,37
1524,What Lies Beneath,18
1525,[REC]²,24
1526,The Santa Clause,22
1527,For Your Eyes Only,33
1528,Superman III,33
1529,Cool Runnings,29
1530,Just My Luck,15
1531,Talladega Nights: The Ballad of Ricky Bobby,20
1532,The Faculty,6
1533,Wall Street: Money Never Sleeps,36
1534,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",15
1535,Coach Carter,38
1536,Death at a Funeral,17
1537,Never Back Down,36
1538,Harold & Kumar Escape from Guantanamo Bay,8
1539,Snakes on a Plane,19
1540,Crimson Tide,37
1541,Chloe,34
1542,Zookeeper,15
1543,The Firm,18
1544,Michael Clayton,26
1545,The Muppets,15
1546,Your Highness,31
1547,JFK,28
1548,Friday,29
1549,Analyze This,11
1550,I Love You Phillip Morris,13
1551,Crocodile Dundee,11
1552,WarGames,37
1553,Barry Lyndon,35
1554,Haywire,34
1555,This Is Where I Leave You,17
1556,Footloose,35
1557,The Lazarus Effect,24
1558,A View to a Kill,33
1559,Super Size Me,23
1560,Big Momma's House,11
1561,Daddy Day Care,22
1562,The Kids Are All Right,17
1563,Skyline,34
1564,The Spy Who Loved Me,33
1565,The Hundred-Foot Journey,38
1566,A Time to Kill,18
1567,Race to Witch Mountain,4
1568,"Dude, Where’s My Car?",29
1569,Lars and the Real Girl,13
1570,The 13th Warrior,3
1571,G-Force,15
1572,Spy Kids 3-D: Game Over,3
1573,Cop Out,36
1574,Small Soldiers,33
1575,The Waterboy,29
1576,Bedazzled,23
1577,Hostage,26
1578,The Kingdom,36
1579,Outbreak,37
1580,The Rundown,12
1581,"I Love You, Man",31
1582,The Losers,19
1583,A Haunted House,1
1584,The Core,33
1585,Rat Race,7
1586,Unleashed,34
1587,I Spit on Your Grave,26
1588,We Were Soldiers,28
1589,Amores perros,28
1590,Serendipity,29
1591,The Naked Gun 33⅓: The Final Insult,11
1592,Spy Kids 2: The Island of Lost Dreams,3
1593,The X Files: I Want to Believe,34
1594,Margin Call,36
1595,Year One,15
1596,The Man with the Golden Gun,33
1597,She's Out of My League,13
1598,Flags of Our Fathers,36
1599,Cheaper by the Dozen 2,31
1600,Another Earth,17
1601,Octopussy,33
1602,The Iron Lady,9
1603,The Jackal,37
1604,The House Bunny,13
1605,City of Angels,16
1606,Punch-Drunk Love,23
1607,Four Rooms,11
1608,I Am Sam,30
1609,Star Trek: The Motion Picture,37
1610,30 Minutes or Less,15
1611,You Only Live Twice,33
1612,Dinner for Schmucks,20
1613,Ghost Ship,5
1614,The Whole Nine Yards,11
1615,A Scanner Darkly,34
1616,Cold Mountain,30
1617,Live and Let Die,33
1618,The Legend of Hercules,4
1619,Smokin' Aces,25
1620,DragonHeart,11
1621,The Host,36
1622,Cellular,12
1623,The Lost Boys,11
1624,Licence to Kill,33
1625,Moonraker,33
1626,Old School,29
1627,A Most Wanted Man,26
1628,Letters from Iwo Jima,36
1629,The English Patient,35
1630,Road Trip,11
1631,The Bridge on the River Kwai,28
1632,Eight Below,36
1633,Endless Love,13
1634,Dinosaur,10
1635,Herbie Fully Loaded,15
1636,The Flintstones,10
1637,The Gambler,26
1638,Eraser,37
1639,Runner Runner,34
1640,Men of Honor,30
1641,Funny Games,26
1642,Wall Street,28
1643,The Naked Gun 2½: The Smell of Fear,11
1644,To Rome with Love,20
1645,A Most Violent Year,26
1646,Child 44,26
1647,Payback,27
1648,xXx: State of the Union,19
1649,Sky High,32
1650,They Live,6
1651,Delivery Man,31
1652,Diamonds Are Forever,33
1653,Napoleon Dynamite,29
1654,Music and Lyrics,13
1655,House at the End of the Street,24
1656,Sabotage,26
1657,Ride Along 2,15
1658,Safety Not Guaranteed,13
1659,The Rite,26
1660,Planet 51,32
1661,Criminal,36
1662,The Last King of Scotland,38
1663,Layer Cake,27
1664,Twins,16
1665,The Transporter Refueled,19
1666,Julie & Julia,39
1667,Escape from Alcatraz,28
1668,Traffic,18
1669,Dune,33
1670,Thunderball,33
1671,Paranormal Activity 4,24
1672,Case 39,26
1673,Role Models,31
1674,Winter's Bone,9
1675,District B13,12
1676,Charlie St. Cloud,9
1677,Paul Blart: Mall Cop 2,15
1678,Dreamcatcher,37
1679,Bring It On,29
1680,Before Midnight,39
1681,A Dangerous Method,34
1682,Where the Wild Things Are,15
1683,The Spiderwick Chronicles,32
1684,Burlesque,39
1685,The Infiltrator,26
1686,Tears of the Sun,28
1687,The Skeleton Key,24
1688,The SpongeBob SquarePants Movie,10
1689,Coyote Ugly,29
1690,Elektra,34
1691,Jingle All the Way,3
1692,What Dreams May Come,35
1693,Bend It Like Beckham,16
1694,Spy Game,37
1695,Just Like Heaven,15
1696,Philomena,9
1697,Night of the Living Dead,5
1698,Paycheck,33
1699,Sinister 2,24
1700,Child's Play,5
1701,Piranha 3D,1
1702,The Negotiator,37
1703,Step Up 3D,39
1704,The Switch,13
1705,Troll Hunter,1
1706,Poseidon,19
1707,Dazed and Confused,11
1708,Krampus,15
1709,My Best Friend's Wedding,23
1710,"Good bye, Lenin!",16
1711,Pi,27
1712,Monsters,34
1713,The Amityville Horror,34
1714,The Finest Hours,36
1715,Couples Retreat,20
1716,Cliffhanger,33
1717,The Texas Chain Saw Massacre,5
1718,Inkheart,4
1719,Monte Carlo,20
1720,Broken City,26
1721,Maggie,24
1722,John Q,18
1723,Freddy vs. Jason,5
1724,What to Expect When You're Expecting,39
1725,The Cable Guy,11
1726,Once Upon a Time in Mexico,6
1727,The 6th Day,14
1728,The Box,36
1729,The Perfect Storm,30
1730,My Sister's Keeper,38
1731,Drive Angry,19
1732,Surf's Up,32
1733,Entrapment,35
1734,Police Academy,11
1735,Fright Night,1
1736,Deep Blue Sea,12
1737,The Peanuts Movie,15
1738,Jack and Jill,31
1739,City of Ember,4
1740,Four Brothers,36
1741,About a Boy,23
1742,Doom,4
1743,Blazing Saddles,29
1744,Anaconda,6
1745,Hall Pass,31
1746,Get Him to the Greek,20
1747,Milk,38
1748,Das Boot,28
1749,Stuart Little 2,10
1750,Max Payne,34
1751,Beverly Hills Cop II,6
1752,Welcome to the Sticks,31
1753,Brick Mansions,34
1754,Cinderella Man,39
1755,Garden State,23
1756,Legends of the Fall,7
1757,Repo Men,25
1758,Gulliver's Travels,31
1759,Ben-Hur,38
1760,The Sting,35
1761,Highlander,33
1762,The Secret in Their Eyes,36
1763,Tombstone,28
1764,Fun with Dick and Jane,31
1765,High Fidelity,16
1766,Kindergarten Cop,7
1767,Gothika,5
1768,Superman II,33
1769,25th Hour,28
1770,Legion,24
1771,Seven Years in Tibet,28
1772,Ed Wood,7
1773,The Signal,34
1774,The Time Machine,12
1775,Machete Kills,25
1776,Four Weddings and a Funeral,16
1777,The Ring Two,26
1778,Brothers,34
1779,The Crazies,34
1780,Daybreakers,34
1781,Hollow Man,33
1782,Wrong Turn,5
1783,Hero,12
1784,Eat Pray Love,38
1785,Nebraska,39
1786,Death Becomes Her,11
1787,Adaptation.,35
1788,Arthur and the Invisibles,32
1789,The November Man,25
1790,The Land Before Time,10
1791,Step Up 2: The Streets,17
1792,Pride and Prejudice and Zombies,36
1793,Let Me In,36
1794,Marie Antoinette,38
1795,"Good Morning, Vietnam",7
1796,The Curse of the Were-Rabbit,32
1797,Mr. Deeds,23
1798,Starsky & Hutch,11
1799,Hot Pursuit,4
1800,Conan the Barbarian,33
1801,Butch Cassidy and the Sundance Kid,28
1802,Memoirs of a Geisha,39
1803,Gremlins 2: The New Batch,11
1804,Hannibal Rising,26
1805,Bad Santa,23
1806,EuroTrip,29
1807,Open Season,32
1808,Metropolis,28
1809,To Kill a Mockingbird,28
1810,Primer,27
1811,Ronin,37
1812,We Are Your Friends,17
1813,The Exorcism of Emily Rose,26
1814,Before I Go to Sleep,24
1815,Team America: World Police,3
1816,Star Trek: First Contact,33
1817,Eddie the Eagle,13
1818,16 Blocks,19
1819,The Bodyguard,18
1820,Step Up Revolution,17
1821,Mr. Bean's Holiday,15
1822,Idiocracy,15
1823,Run Lola Run,27
1824,Thank You for Smoking,17
1825,Alvin and the Chipmunks: The Squeakquel,32
1826,The Boat That Rocked,39
1827,The Boxtrolls,32
1828,Reign of Fire,3
1829,Paranormal Activity 3,24
1830,The Ghost Writer,26
1831,The Lake House,13
1832,All Is Lost,4
1833,She's the Man,15
1834,My Big Fat Greek Wedding,23
1835,What's Your Number?,13
1836,It's Kind of a Funny Story,17
1837,Around the World in 80 Days,37
1838,Cape Fear,37
1839,Star Trek II: The Wrath of Khan,33
1840,From Paris with Love,19
1841,Rushmore,11
1842,Babylon A.D.,19
1843,Chicago,7
1844,House of Wax,36
1845,We Need to Talk About Kevin,36
1846,White Chicks,16
1847,Pete's Dragon,4
1848,Bad Grandpa,31
1849,Green Room,34
1850,Victor Frankenstein,26
1851,Doctor Dolittle,10
1852,"I, Frankenstein",24
1853,I Know What You Did Last Summer,5
1854,The Way Way Back,17
1855,Rambo III,12
1856,Dope,13
1857,Shanghai Knights,37
1858,Three Kings,37
1859,Priest,34
1860,Aloha,17
1861,Harold & Kumar Go to White Castle,11
1862,Australia,38
1863,Midnight Special,36
1864,The Smurfs 2,32
1865,Flubber,22
1866,K-PAX,28
1867,Killer Elite,25
1868,Munich,36
1869,The Princess Diaries 2: Royal Engagement,7
1870,The Bank Job,26
1871,Cheaper by the Dozen,29
1872,Seeking a Friend for the End of the World,13
1873,The Master,38
1874,Hard Candy,34
1875,The Nutty Professor,22
1876,Escape from New York,6
1877,Legend of the Guardians: The Owls of Ga'Hoole,32
1878,The Running Man,6
1879,Æon Flux,34
1880,The Best Offer,36
1881,Big Trouble in Little China,22
1882,The Hills Have Eyes,26
1883,Magic Mike XXL,39
1884,Extremely Loud & Incredibly Close,38
1885,Hairspray,20
1886,Galaxy Quest,22
1887,Nanny McPhee,32
1888,The Counselor,26
1889,Last Action Hero,37
1890,A Cinderella Story,29
1891,Lockout,19
1892,Sleepers,18
1893,Gandhi,30
1894,Vantage Point,19
1895,Erin Brockovich,30
1896,The Great Escape,28
1897,Green Zone,25
1898,New Year's Eve,20
1899,Before Sunset,0
1900,Walk the Line,39
1901,The Elephant Man,30
1902,The SpongeBob Movie: Sponge Out of Water,32
1903,Out of the Furnace,26
1904,The Great Beauty,39
1905,Jeepers Creepers,5
1906,Stranger Than Fiction,39
1907,Zack and Miri Make a Porno,31
1908,Saw VI,24
1909,Paranormal Activity 2,24
1910,The Incredible Burt Wonderstone,31
1911,Singin' in the Rain,23
1912,Wayne's World,29
1913,Predator 2,33
1914,Saw: The Final Chapter,24
1915,Shallow Hal,16
1916,The Last of the Mohicans,28
1917,Babe,22
1918,Bronson,34
1919,Attack the Block,4
1920,Shanghai Noon,37
1921,The Change-Up,20
1922,Scream 3,7
1923,Never Let Me Go,17
1924,21 & Over,31
1925,Adventureland,20
1926,Carnage,17
1927,Trading Places,16
1928,Aliens vs Predator: Requiem,19
1929,J. Edgar,26
1930,From Hell,18
1931,The Men Who Stare at Goats,31
1932,Killing Them Softly,34
1933,Evil Dead II,11
1934,Event Horizon,6
1935,Commando,12
1936,Mad Max Beyond Thunderdome,33
1937,True Romance,37
1938,Billy Elliot,35
1939,Scary Movie 4,31
1940,Bridget Jones: The Edge of Reason,16
1941,Mr. Popper's Penguins,15
1942,Happy Gilmore,29
1943,Clerks,29
1944,The Book of Life,32
1945,The Little Prince,32
1946,The Ninth Gate,18
1947,From Russia with Love,33
1948,Gamer,19
1949,St. Vincent,31
1950,Jarhead,39
1951,The Best of Me,39
1952,Savages,26
1953,"As Above, So Below",24
1954,The Punisher,18
1955,The Talented Mr. Ripley,18
1956,Lethal Weapon 4,37
1957,30 Days of Night,36
1958,S.W.A.T.,37
1959,Contraband,26
1960,The Thin Red Line,28
1961,Killers,34
1962,Flightplan,34
1963,Akira,14
1964,Along Came Polly,23
1965,Pandorum,25
1966,The Life Aquatic with Steve Zissou,7
1967,The Assassination of Jesse James by the Coward Robert Ford,36
1968,No Escape,34
1969,The Scorpion King,3
1970,Zathura: A Space Adventure,4
1971,Point Break,25
1972,Rush Hour 3,19
1973,The Longest Yard,39
1974,42,38
1975,Paul Blart: Mall Cop,15
1976,ParaNorman,32
1977,Master and Commander: The Far Side of the World,14
1978,Scary Movie 5,31
1979,Hotel Rwanda,28
1980,Poltergeist,7
1981,Shakespeare in Love,35
1982,Revolutionary Road,39
1983,Boogie Nights,30
1984,Zoolander 2,31
1985,Triple 9,36
1986,Almost Famous,35
1987,Movie 43,31
1988,August Rush,38
1989,The Time Traveler's Wife,39
1990,Willy Wonka & the Chocolate Factory,10
1991,Last Vegas,31
1992,Safe,19
1993,Some Like It Hot,16
1994,Fantasia,7
1995,Catwoman,27
1996,The Abyss,33
1997,Closer,0
1998,Lethal Weapon 3,37
1999,The Reader,39
2000,Devil,24
2001,The Prince of Egypt,10
2002,Into the Storm,34
2003,Selma,38
2004,The Virgin Suicides,0
2005,The Brothers Grimm,8
2006,Saw V,4
2007,Scooby-Doo,11
2008,Garfield,10
2009,Remember the Titans,30
2010,Concussion,38
2011,Safe Haven,39
2012,Dogma,2
2013,Colombiana,26
2014,The Girl Next Door,16
2015,Magnolia,30
2016,The Bone Collector,18
2017,Blackhat,26
2018,The Fountain,15
2019,Buried,34
2020,Cruel Intentions,27
2021,Dark City,6
2022,Spirit: Stallion of the Cimarron,10
2023,The Final Destination,24
2024,Kung Fu Hustle,22
2025,Patch Adams,35
2026,A History of Violence,34
2027,The Break-Up,13
2028,Premium Rush,19
2029,Inherent Vice,36
2030,Inside Llewyn Davis,9
2031,Rocky Balboa,9
2032,RockNRolla,25
2033,Jennifer's Body,1
2034,The Boondock Saints,37
2035,You've Got Mail,16
2036,Air Force One,37
2037,Scream 2,7
2038,The Wave,36
2039,Beowulf,21
2040,The Pacifier,15
2041,Mr. Peabody & Sherman,32
2042,Tucker and Dale vs Evil,1
2043,The Addams Family,11
2044,Eastern Promises,34
2045,Beastly,17
2046,Water for Elephants,39
2047,How to Lose a Guy in 10 Days,16
2048,Lawrence of Arabia,28
2049,Johnny English,22
2050,Ride Along,15
2051,Daddy's Home,31
2052,Young Frankenstein,11
2053,Deep Impact,7
2054,Bride Wars,31
2055,Modern Times,11
2056,The Road to El Dorado,10
2057,National Lampoon’s Van Wilder,29
2058,The Bounty Hunter,36
2059,Crank: High Voltage,19
2060,The World Is Not Enough,33
2061,Only God Forgives,34
2062,Rosemary's Baby,18
2063,The Passion of the Christ,30
2064,Tremors,27
2065,Rambo: First Blood Part II,12
2066,The Grudge,27
2067,Final Destination 5,24
2068,Spy Kids,3
2069,The Imaginarium of Doctor Parnassus,8
2070,Flushed Away,32
2071,Monster House,32
2072,Shame,9
2073,Homefront,34
2074,Big Daddy,11
2075,A Few Good Men,30
2076,Seven Samurai,28
2077,Freaky Friday,29
2078,Immortals,36
2079,Desperado,12
2080,The Watch,31
2081,Stoker,24
2082,Legally Blonde,29
2083,Paddington,15
2084,3 Days to Kill,26
2085,A Fistful of Dollars,2
2086,Melancholia,39
2087,Kiss Kiss Bang Bang,4
2088,Hostel,24
2089,The Neon Demon,26
2090,Blue Valentine,39
2091,The Karate Kid,30
2092,The Legend of Zorro,21
2093,Hot Tub Time Machine,15
2094,The Evil Dead,5
2095,Body of Lies,36
2096,This Is 40,20
2097,Bedtime Stories,15
2098,The Lincoln Lawyer,26
2099,Spaceballs,11
2100,Scream 4,1
2101,Saw IV,34
2102,The Next Three Days,36
2103,A Knight's Tale,7
2104,Robin Hood: Prince of Thieves,14
2105,We Bought a Zoo,39
2106,The Ides of March,9
2107,Scary Movie 3,29
2108,Jerry Maguire,16
2109,Charlie's Angels: Full Throttle,22
2110,Cloudy with a Chance of Meatballs 2,32
2111,As Good as It Gets,16
2112,21 Grams,18
2113,What's Eating Gilbert Grape,35
2114,The Deer Hunter,30
2115,Red Riding Hood,34
2116,Anchorman 2: The Legend Continues,20
2117,What Happens in Vegas,13
2118,The Three Musketeers,25
2119,Tomorrow Never Dies,33
2120,Man on a Ledge,19
2121,Ponyo,32
2122,The Hunt,38
2123,Alexander,28
2124,"Crouching Tiger, Hidden Dragon",7
2125,"Me, Myself & Irene",16
2126,Tower Heist,15
2127,Frankenweenie,32
2128,Swordfish,27
2129,Project Almanac,34
2130,The Descendants,39
2131,[REC],24
2132,13 Hours: The Secret Soldiers of Benghazi,36
2133,Raging Bull,30
2134,Dr. No,33
2135,The Sound of Music,35
2136,Get Hard,31
2137,Chicken Little,15
2138,The Lucky One,13
2139,Treasure Planet,3
2140,The Happening,34
2141,When Harry Met Sally...,23
2142,Burnt,9
2143,Twister,37
2144,Wild,38
2145,Chocolat,16
2146,The Crow,12
2147,Pan,8
2148,The Taking of Pelham 1 2 3,34
2149,Trance,34
2150,Mad Max 2: The Road Warrior,12
2151,The Hunt for Red October,33
2152,Seventh Son,15
2153,The Lives of Others,36
2154,Stuart Little,10
