,,0
250,Turbulence,12
251,Quo Vadis,35
252,Down in the Valley,39
253,Summer Catch,16
254,Split Second,12
255,Cure,18
256,Random Hearts,35
257,Paint Your Wagon,7
258,Facing the Giants,38
259,Veer-Zaara,35
260,Swing Vote,39
261,Pat Garrett & Billy the Kid,2
262,Mr. 3000,11
263,Set It Off,18
264,Anywhere But Here,16
265,Winter in Wartime,1
266,The History Boys,39
267,Hud,28
268,Bulworth,35
269,Flirting with Disaster,23
270,L!fe Happens,31
271,Woodstock,7
272,A Passage to India,28
273,Dick,29
274,Recess: School's Out,10
275,Dragonslayer,14
276,Lone Wolf McQuade,18
277,Coal Miner's Daughter,30
278,Reds,30
279,Return to Me,16
280,Alex & Emma,23
281,The Cotton Club,35
282,Gossip,27
283,"Mystery, Alaska",35
284,Let's Go to Prison,17
285,The Last Dragon,37
286,Swimfan,0
287,She's the One,23
288,The Adventures of Ford Fairlane,6
289,Nixon,30
290,The Express,38
291,How Green Was My Valley,30
292,The Misfits,35
293,Khumba,32
294,Catch-22,35
295,God's Not Dead 2,38
296,Reno 911!: Miami,4
297,The Object of My Affection,16
298,The Train,37
299,Ca$h,36
300,Fur: An Imaginary Portrait of Diane Arbus,39
301,Vanity Fair,35
302,Head Over Heels,29
303,Wonderland,27
304,The Spanish Prisoner,18
305,The Quiet,34
306,The Adventurer: The Curse of the Midas Box,4
307,Tomcats,29
308,Mary Reilly,27
309,A Mighty Wind,29
310,Barbershop 2:  Back in Business,11
311,The Story of Us,23
312,Shopgirl,13
313,Baby Geniuses,10
314,The Canyons,34
315,The Big Bounce,11
316,Catch That Kid,3
317,The Rage: Carrie 2,27
318,Madea's Family Reunion,20
319,Lone Star,35
320,Courageous,38
321,Renaissance,4
322,The Barbarian Invasions,23
323,The Little Vampire,2
324,Topaz,37
325,Manderlay,38
326,Running with Scissors,39
327,Monkeybone,3
328,Glee: The Concert Movie,15
329,Niagara,27
330,You Can't Take It With You,16
331,Country Strong,39
332,Extreme Measures,28
333,Big Trouble,12
334,You Kill Me,34
335,My Favorite Martian,22
336,Mad City,37
337,Renaissance Man,7
338,Gods and Monsters,0
339,Akeelah and the Bee,38
340,Love in the Time of Cholera,39
341,The Quiet American,6
342,In Cold Blood,28
343,Red River,14
344,Harley Davidson and the Marlboro Man,27
345,Stop-Loss,38
346,Son of God,38
347,Metallica: Through the Never,1
348,A Guy Thing,23
349,Strangerland,36
350,Solitary Man,13
351,High Anxiety,29
352,Ondine,39
353,Flipper,22
354,Serving Sara,23
355,Things to Do in Denver When You're Dead,28
356,Dark Blue,37
357,Katy Perry: Part of Me,1
358,The Good German,26
359,Family Plot,18
360,Drop Dead Gorgeous,29
361,Subway,27
362,White Squall,28
363,Margaret,38
364,The Adventures of Rocky & Bullwinkle,3
365,Hoop Dreams,2
366,Song One,9
367,Battle of the Year,38
368,Return of the Living Dead 3,11
369,Angel Eyes,27
370,Love & Basketball,7
371,Stomp the Yard,38
372,Moby Dick,28
373,Clockstoppers,22
374,In the Cut,18
375,A Man for All Seasons,30
376,Jawbreaker,29
377,Center Stage,35
378,Things We Lost in the Fire,38
379,Roger & Me,2
380,Miracle at St. Anna,38
381,Kundun,30
382,The Great Raid,36
383,The Order,6
384,Of Gods and Men,38
385,Force 10 from Navarone,33
386,Daddy Day Camp,15
387,Thunderbirds,3
388,Muppets from Space,10
389,City By The Sea,18
390,Captive,34
391,Stitches,24
392,The Tailor of Panama,28
393,Casino Jack,36
394,Tsotsi,17
395,Basquiat,30
396,Phantasm II,27
397,The Wackness,9
398,American Dreamz,39
399,A Mighty Heart,34
400,All the King's Men,36
401,Showdown in Little Tokyo,27
402,Igby Goes Down,11
403,Point Blank,27
404,Dolphin Tale 2,38
405,Crazy/Beautiful,0
406,The Women,39
407,Another Year,39
408,The Bad News Bears,22
409,Knockaround Guys,27
410,Human Traffic,11
411,Michael Collins,28
412,Ballistic: Ecks vs. Sever,12
413,Rang De Basanti,38
414,Suspect Zero,27
415,Sorcerer,33
416,Hustle & Flow,38
417,The Red Violin,18
418,New in Town,31
419,Space Chimps,32
420,Fireproof,38
421,Friday After Next,29
422,Rugrats in Paris: The Movie,10
423,Post Grad,31
424,Detroit Rock City,29
425,Urban Legends: Final Cut,5
426,My Life in Ruins,13
427,Maximum Risk,12
428,Mirrormask,1
429,Oliver!,7
430,Secretariat,38
431,The Sweet Hereafter,30
432,The Death and Life of Bobby Z,19
433,Riding in Cars with Boys,16
434,Boys and Girls,23
435,Salton Sea,27
436,Dragon Wars: D-War,19
437,Laws of Attraction,22
438,Happily N'Ever After,32
439,Disturbing Behavior,27
440,On Deadly Ground,27
